uri:/instrument/1.0/FREEF/chartdata;type=quote;range=1d/csv
ticker:freef
Company-Name:FREESEAS INC COM USD0.001(POST 
Exchange-Name:PNK
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:0.0099
Timestamp:1492435800,1492459200
labels:1492437600,1492441200,1492444800,1492448400,1492452000,1492455600,1492459200
values:Timestamp,close,high,low,open,volume
close:0.0078,0.0122
high:0.0080,0.0122
low:0.0078,0.0122
open:0.0080,0.0122
volume:1000,400000
1492436166,0.0100,0.0100,0.0100,0.0100,1600
1492436331,0.0093,0.0093,0.0093,0.0093,2000
1492436830,0.0100,0.0100,0.0100,0.0100,40400
1492437264,0.0100,0.0100,0.0100,0.0100,106600
1492437474,0.0100,0.0100,0.0100,0.0100,61200
1492437508,0.0100,0.0100,0.0099,0.0099,274500
1492437586,0.0120,0.0120,0.0120,0.0120,1000
1492437862,0.0100,0.0100,0.0100,0.0100,70000
1492437945,0.0100,0.0100,0.0100,0.0100,5200
1492437988,0.0122,0.0122,0.0122,0.0122,30000
1492438032,0.0122,0.0122,0.0122,0.0122,50000
1492441289,0.0120,0.0120,0.0120,0.0120,20000
1492441449,0.0101,0.0101,0.0101,0.0101,38000
1492441574,0.0100,0.0100,0.0100,0.0100,65800
1492441802,0.0101,0.0101,0.0101,0.0101,62000
1492443124,0.0120,0.0120,0.0120,0.0120,1500
1492443551,0.0093,0.0101,0.0093,0.0101,400000
1492444679,0.0090,0.0096,0.0090,0.0096,89700
1492444691,0.0095,0.0095,0.0091,0.0091,209300
1492445343,0.0078,0.0080,0.0078,0.0080,10000
1492447584,0.0100,0.0100,0.0100,0.0100,1900
1492458869,0.0100,0.0100,0.0100,0.0100,10000
